timestamp,latitude,longitude,altitude,easting,northing,zone_number,zone_letter
1743804592790565024,-12.015721314951543,-77.05269110199166,142.64352644786774,276514.90977895143,8670874.257382715,18,L
1743804592899607552,-12.015718294489243,-77.05268954128357,142.64635093450494,276515.07727304474,8670874.592845444,18,L
1743804593007871232,-12.015714932457858,-77.05268819809379,142.65052189799988,276515.22079370706,8670874.965923779,18,L
1743804593073941792,-12.015711721206419,-77.05268705693582,142.64993634328215,276515.34243414295,8670875.322155109,18,L
1743804593174262112,-12.015708472680766,-77.05268623900102,142.64937065634018,276515.42883929895,8670875.682247907,18,L
1743804593271973888,-12.01570518555623,-77.0526857433343,142.64122891335492,276515.4801121077,8670876.046349514,18,L
1743804593375139520,-12.01570190535561,-77.05268538846144,142.63408777233556,276515.51605577953,8670876.409570612,18,L
1743804593471900416,-12.01569861443368,-77.05268504481245,142.63093121470322,276515.5507681308,8670876.773968834,18,L
1743804593614835456,-12.015694444669071,-77.05268503409991,142.62386594365995,276515.5484924839,8670877.235334663,18,L
1743804593701531872,-12.015691108649374,-77.05268515442572,142.62435072794105,276515.53263283835,8670877.604345588,18,L
1743804593797758080,-12.015687787840259,-77.05268558126703,142.6239034634125,276515.48340099124,8670877.971424462,18,L
1743804593895085024,-12.015684509330326,-77.05268624639733,142.61989933660934,276515.4082503243,8670878.333629556,18,L
1743804594016084064,-12.015681269354308,-77.05268706785786,142.61219327115634,276515.31610444176,8670878.691444075,18,L
1743804594100747904,-12.015678174075703,-77.05268762986138,142.59348023979487,276515.2523373115,8670879.033459632,18,L
1743804594195375968,-12.015675017252294,-77.05268869136468,142.58752878396035,276515.1341153219,8670879.381878782,18,L
1743804594301086784,-12.015671901723605,-77.05268997256067,142.58319313003312,276514.9919991397,8670879.7255504,18,L
1743804594395126080,-12.015668860819716,-77.05269147898291,142.57990909200765,276514.8254135847,8670880.060782233,18,L
1743804594502992544,-12.015665914600909,-77.0526931867524,142.57556468001007,276514.6369760387,8670880.385374151,18,L
1743804594590188320,-12.015661206811647,-77.05269475009523,142.51355523864956,276514.4628147215,8670880.904989667,18,L
1743804594699780544,-12.015658404161842,-77.05269681249868,142.50424368137004,276514.2358700065,8670881.213408407,18,L
1743804594799608000,-12.015655715843279,-77.05269907243706,142.49534672439935,276513.98750475224,8670881.509016609,18,L
1743804594896629280,-12.015653133785653,-77.05270147682089,142.48791754940288,276513.7234946445,8670881.792750344,18,L
1743804595009458208,-12.015650706219738,-77.052704056669,142.48369709833813,276513.44050101796,8670882.059247984,18,L
1743804595117095424,-12.0156482570561,-77.05270685703644,142.4834342555792,276513.1334712418,8670882.327956054,18,L
1743804595210908480,-12.015646140068448,-77.0527097018669,142.4826663786869,276512.8218729071,8670882.559874892,18,L
1743804595301839136,-12.015644202182784,-77.0527126909844,142.480403568584,276512.49470711395,8670882.771860003,18,L
1743804595394470528,-12.01564242684929,-77.05271580320925,142.47760408793826,276512.1542670213,8670882.965759732,18,L
1743804595494314272,-12.01564081185785,-77.05271904412218,142.47472821125464,276511.7999429655,8670883.141814075,18,L
1743804595599781216,-12.015638888303219,-77.05272460591598,142.63782851655765,276511.1925806104,8670883.350122733,18,L
1743804595696687488,-12.015637601626812,-77.05272815980297,142.63712546381572,276510.80443937966,8670883.489596805,18,L
1743804595805543520,-12.015636480910853,-77.05273183501548,142.63577463676202,276510.4032207327,8670883.610609835,18,L
1743804595903189088,-12.015635634814009,-77.05273563389959,142.63647232209308,276509.988758857,8670883.701137546,18,L
1743804596014526240,-12.01563501737388,-77.0527395214781,142.63695695851465,276509.5648254192,8670883.766293801,18,L
1743804596070270464,-12.015634510833394,-77.05274378823557,142.62705033134,276509.09968446847,8670883.818871573,18,L
1743804596176028448,-12.015634216920368,-77.05274782279321,142.62704344117282,276508.6600095879,8670883.84811221,18,L
1743804596287136896,-12.015634021026516,-77.05275192102391,142.62516224820632,276508.21348054614,8670883.866455914,18,L
1743804596377412000,-12.015633991218477,-77.05275611937326,142.62653570913184,276507.7561839861,8670883.86634194,18,L
1743804596492420704,-12.015634109343356,-77.0527604164322,142.63059707120098,276507.28825840063,8670883.849779924,18,L
1743804596605003776,-12.015633945261671,-77.05276655906232,142.78097972933068,276506.61908560555,8670883.862942288,18,L
1743804596706252512,-12.015634317548276,-77.05277107468908,142.78121917167812,276506.1275640847,8670883.818081291,18,L
1743804596792852096,-12.0156347983076,-77.05277564756719,142.77994239025605,276505.62989646825,8670883.761171961,18,L
1743804596899016000,-12.015635391026457,-77.05278028017277,142.7793558191847,276505.1258159431,8670883.691826493,18,L
1743804597006778880,-12.015636086462516,-77.0527849771616,142.7786160549576,276504.61480778933,8670883.611063702,18,L
1743804597113040352,-12.015636924740734,-77.0527897527607,142.77738421637932,276504.09535556834,8670883.514432464,18,L
1743804597194422720,-12.015637775465406,-77.05279411826515,142.7172530202539,276503.620579933,8670883.416757394,18,L
1743804597291251392,-12.015638856208136,-77.05279901078461,142.71509477688508,276503.0885932743,8670883.293204004,18,L
1743804597398931840,-12.015640002577445,-77.05280396653029,142.7126970170569,276502.54977437964,8670883.162338067,18,L
1743804597495628864,-12.01564118005085,-77.05280898701272,142.71151228193406,276502.0039302353,8670883.02797804,18,L
1743804597605136128,-12.015642441927533,-77.05281404867462,142.7091136099896,276501.45367063023,8670882.884245865,18,L
1743804597700670752,-12.0156436944597,-77.05281910011702,142.71060301613636,276500.90451638954,8670882.741555894,18,L
1743804597799480384,-12.015645132010228,-77.05282423789717,142.7079311074346,276500.3461112535,8670882.578324672,18,L
1743804597888977024,-12.015646663536637,-77.05282943702137,142.70576859635662,276499.78110229375,8670882.404645765,18,L
1743804598012402336,-12.015648295176813,-77.05283472500018,142.7019513063358,276499.2064982123,8670882.219817696,18,L
1743804598132758176,-12.015649958154011,-77.05284010652527,142.6977976834633,276498.6217312225,8670882.03144635,18,L
1743804598204104128,-12.015649992864661,-77.05284432001426,142.63771172081601,276498.1628389733,8670882.024181347,18,L
1743804598296783936,-12.015651659072933,-77.05284975594721,142.63770557248972,276497.57214871247,8670881.835408263,18,L
1743804598396984992,-12.015653392654206,-77.05285521467803,142.63653248700538,276496.9790310064,8670881.639162255,18,L
1743804598499914240,-12.01565518568819,-77.05286070951212,142.6342368150096,276496.38203012774,8670881.436308838,18,L
1743804598596253120,-12.015657022863474,-77.05286626822397,142.63314189694316,276495.7781083222,8670881.228519544,18,L
1743804598746164544,-12.015658522610467,-77.05287188414036,142.64147691333966,276495.1676773772,8670881.058017975,18,L
1743804598796314176,-12.015660339248267,-77.05287763199428,142.6401682457454,276494.5431378293,8670880.852347264,18,L
1743804598899892960,-12.015662163210093,-77.05288345419685,142.63882913136246,276493.91050649236,8670880.645805756,18,L
1743804599012242144,-12.015663993474645,-77.05288933259217,142.63944362083532,276493.2717600196,8670880.438521206,18,L
1743804599114437696,-12.015665841178103,-77.05289524809419,142.63917940480223,276492.62898639403,8670880.229276981,18,L
1743804599197830112,-12.01566622266351,-77.05290073219109,142.42500428277185,276492.0319895769,8670880.182610812,18,L
1743804599293840640,-12.01566801955768,-77.05290672134103,142.42012127423493,276491.3811524984,8670879.978928413,18,L
1743804599409375520,-12.01566984894024,-77.05291276783721,142.41544481315873,276490.7240962635,8670879.771604763,18,L
1743804599500978304,-12.015671680015847,-77.05291885985203,142.41180939543182,276490.062083678,8670879.564056775,18,L
1743804599609266304,-12.01567355295358,-77.05292499435751,142.40858292889195,276489.3954777053,8670879.351842465,18,L
1743804599732023520,-12.015675251042401,-77.05293119454412,142.4042970693037,276488.7215735769,8670879.158920642,18,L
1743804599798791392,-12.015677131739626,-77.05293741048679,142.4032697407927,276488.04610412486,8670878.945781572,18,L
1743804599892100896,-12.015679013260659,-77.05294368349914,142.40422750470577,276487.36441949435,8670878.732504949,18,L
1743804599998142688,-12.01568095569622,-77.05295001351345,142.40394374585807,276486.67657668376,8670878.512442185,18,L
1743804600095728832,-12.015682932802282,-77.05295641803856,142.40131584166718,276485.980647009,8670878.288482778,18,L
1743804600206079328,-12.01568445161491,-77.05296225240917,142.39432326730855,276485.34643849725,8670878.115693944,18,L
1743804600299932576,-12.01568644117626,-77.0529687023948,142.39200360082197,276484.64556769276,8670877.890319454,18,L
1743804600396779296,-12.015688468283313,-77.05297511934229,142.39049791902573,276483.94832631305,8670877.660817614,18,L
1743804600502309280,-12.015690495236768,-77.0529815286383,142.38894275798796,276483.2519181963,8670877.43133897,18,L
1743804600594211520,-12.01569254916325,-77.05298796341717,142.38659642501767,276482.55275683803,8670877.198855206,18,L
1743804600710077440,-12.01569494544838,-77.0529943457597,142.39780116517736,276481.8595893852,8670876.928534297,18,L
1743804600790125632,-12.015697047863462,-77.05300084374542,142.39710209505094,276481.1535837756,8670876.690634176,18,L
1743804600901032640,-12.015699129666245,-77.05300730360128,142.39541517547698,276480.4517141482,8670876.455045642,18,L
1743804601012594624,-12.01570121779247,-77.05301370376287,142.39438676857245,276479.7563514764,8670876.218805965,18,L
1743804601106908448,-12.015703315379973,-77.05302009365714,142.3915202625193,276479.06211491104,8670875.981527787,18,L
1743804601198237728,-12.015704998482828,-77.05302668691145,142.27319079020094,276478.3453867328,8670875.789944313,18,L
1743804601299175232,-12.015707140877915,-77.05303309348636,142.27289098953352,276477.6493703756,8670875.547694873,18,L
1743804601394982144,-12.0157093206245,-77.05303946736898,142.27299622137517,276476.95694561664,8670875.30133929,18,L
1743804601490146784,-12.015711537413953,-77.05304579199472,142.27147166532868,276476.269916367,8670875.050925173,18,L
1743804601601360800,-12.015713767622707,-77.053052104043,142.27186480598186,276475.5842681106,8670874.799036507,18,L
1743804601709552160,-12.015716033789293,-77.05305842327341,142.27284944776665,276474.8978672956,8670874.543163482,18,L
1743804601798245472,-12.015718006587182,-77.05306487022052,142.28154320366636,276474.19731372077,8670874.31964596,18,L
1743804601899193056,-12.015720313346728,-77.05307121986375,142.2803895196086,276473.50763397024,8670874.059256835,18,L
1743804602008910752,-12.015722632290636,-77.05307756333391,142.27964148184213,276472.8186366406,8670873.79752459,18,L
1743804602095530336,-12.015724976210993,-77.05308386835245,142.27605392133898,276472.1338479809,8670873.5330601,18,L
1743804602196059552,-12.015727354656434,-77.05309015080748,142.27555965313977,276471.45154539146,8670873.264793959,18,L
1743804602293190496,-12.015729303415172,-77.05309731540497,142.2041713885697,276470.6728076414,8670873.043352777,18,L
1743804602402240320,-12.015731691472986,-77.05310367464888,142.20335100161986,276469.9821493876,8670872.773960635,18,L
1743804602492903072,-12.015734109682139,-77.05311005785293,142.20382910506856,276469.28890637634,8670872.501212949,18,L
1743804602598892608,-12.015736558771184,-77.053116464045,142.20564173589727,276468.5931850855,8670872.225029899,18,L
1743804602726898816,-12.015739011228643,-77.05312285513138,142.20446808186546,276467.8991118551,8670871.948486418,18,L
1743804602805529760,-12.015741485671123,-77.05312925525986,142.19560223214694,276467.2040719462,8670871.66950307,18,L
1743804602893108896,-12.015743953134175,-77.0531356374066,142.19432328413205,276466.510984808,8670871.391306547,18,L
1743804602992723296,-12.01574645709227,-77.05314202909746,142.19232442800097,276465.8168882975,8670871.10906431,18,L
1743804603105303776,-12.015749000683181,-77.05314843862573,142.18907084001208,276465.12088172615,8670870.822422445,18,L
1743804603188068864,-12.015751569614643,-77.05315486839787,142.18546531812422,276464.42269118776,8670870.532960337,18,L
1743804603273197824,-12.015754588234541,-77.05316285534546,142.17583694520744,276463.5552690316,8670870.192477321,18,L
1743804603376954272,-12.015757228695625,-77.05316931584302,142.17144160835642,276462.8537910612,8670869.89507591,18,L
1743804603472108736,-12.015759879127442,-77.05317578432211,142.16654078032403,276462.1514520131,8670869.596564794,18,L
1743804603584168608,-12.015762557846031,-77.05318228365275,142.16011403254163,276461.4457760771,8670869.294898834,18,L
1743804603695098848,-12.015765238516234,-77.05318880289263,142.15581828507248,276460.73793330713,8670868.993000738,18,L
1743804603811876896,-12.015767803299441,-77.0531953790825,142.14968775162964,276460.02379202656,8670868.70387847,18,L
